program_id,program_name,employee_first_name,employee_last_name,business_unit_corporate_function,location,career_grade,talent_review_status,number_of_years_with_business,gender,ethnicity,nps_score,nps_comments
621,iLead,Raelene,Raine,Virtual Online Learning,"North America, Canada",E,Aspire to move,3 - 5 years,Male,White,4.0,
621,iLead,Lavern,Smythe,Higher Education,"North America, United States",D,Ready now,6 - 10 years,Male,White,1.0,
621,iLead,Arvilla,Mccallum,Higher Education,China,E,Ready in 1 year,3 - 5 years,Female,White,3.0,
621,iLead,Junior,Waters,Higher Education,"North America, United States",D,Ready now,3 - 5 years,Male,White,8.0,
621,iLead,Piedad,Darlington,Virtual Online Learning,United Kingdom,D,Performing to standard,6 - 10 years,Female,White,4.0,
621,iLead,Madelyn,Hills,Higher Education,"North America, Canada",F,Ready now,Less than 2 years,Female,White,7.0,
621,iLead,Issac,Nobbs,Virtual Online Learning,Africa,F,Ready now,6 - 10 years,Female,White,2.0,
621,iLead,Cedrick,Truscott,Workforce Skills,"North America, United States",D,Ready in 1 year,Less than 2 years,Male,White,7.0,
621,iLead,Kristine,Phelps,Virtual Online Learning,"North America, United States",E,Aspire to move,3 - 5 years,Female,White,5.0,
621,iLead,Dolores,Gladwell,English Language Learning,United Kingdom,D,Performing to standard,6 - 10 years,Male,White,4.0,
621,iLead,Marchelle,Isherwod,Higher Education,"North America, Canada",E,Ready now,Less than 2 years,Male,White,7.0,
621,iLead,Brianne,Sutherland,Human Resources,"North America, United States",F,Performing to standard,11 + years,Female,White,7.0,
621,iLead,Robbin,Macmillan,Assessment & Qualifications,"North America, Canada",F,Aspire to move,Less than 2 years,Male,White,3.0,
621,iLead,Yuri,Ellard,Assessment & Qualifications,South Asia,D,Aspire to move,6 - 10 years,Male,White,4.0,
621,iLead,Keesha,Palfrey,Virtual Online Learning,"North America, Canada",E,Performing to standard,11 + years,Female,White,9.0,
621,iLead,Aleshia,Rennie,Assessment & Qualifications,Middle East,F,Ready in 1 year,11 + years,Male,White,9.0,
621,iLead,Duncan,Simms,Workforce Skills,India,F,Ready now,Less than 2 years,Male,White,1.0,
621,iLead,Carly,Jonhson,Virtual Online Learning,Africa,F,Ready now,6 - 10 years,Male,White,10.0,
621,iLead,Stephany,Danby,Human Resources,"North America, Canada",D,Performing to standard,3 - 5 years,Male,White,8.0,
621,iLead,Regine,Gallo,Assessment & Qualifications,United Kingdom,F,Ready in 1 year,Less than 2 years,Female,White,2.0,
621,iLead,Tawny,Flannery,Virtual Online Learning,"North America, Canada",E,Aspire to move,6 - 10 years,Female,White,7.0,
621,iLead,Dawne,Mcdonnell,Virtual Online Learning,"North America, United States",F,Performing to standard,Less than 2 years,Female,White,8.0,
621,iLead,Patsy,Dawes,Higher Education,United Kingdom,E,Ready in 1 year,6 - 10 years,Male,White,2.0,
621,iLead,Ike,Groom,Higher Education,South Asia,D,Aspire to move,6 - 10 years,Female,White,6.0,
621,iLead,Vanita,Begum,Workforce Skills,West Asia,F,Aspire to move,11 + years,Female,White,5.0,
621,iLead,Keren,Tayler,CPO/DTC,"North America, United States",F,Ready in 1 year,11 + years,Male,White,4.0,
621,iLead,Mirta,Maher,Higher Education,"North America, Canada",F,Ready now,6 - 10 years,Male,White,8.0,
621,iLead,Rocio,O mahony,Finance,"North America, United States",D,Performing to standard,3 - 5 years,Other,White,0.0,
621,iLead,Kyra,Ellershaw,Higher Education,India,E,Ready now,6 - 10 years,Male,White,7.0,
621,iLead,Lorretta,Norgate,Higher Education,West Asia,F,Ready now,3 - 5 years,Male,White,5.0,
621,iLead,Rema,Watt,Higher Education,United Kingdom,E,Ready now,11 + years,Male,White,5.0,
621,iLead,Josiah,Jaffray,Assessment & Qualifications,Middle East,H,Ready now,Less than 2 years,Male,White,8.0,
621,iLead,Evelina,Munro,Virtual Online Learning,India,D,Aspire to move,3 - 5 years,Male,White,8.0,
621,iLead,Isreal,Dowler,Human Resources,United Kingdom,G,Ready now,11 + years,Male,White,4.0,
621,iLead,Marya,Buxton,Virtual Online Learning,Northern Ireland,D,Aspire to move,11 + years,Female,White,3.0,
621,iLead,Teri,Norgate,Higher Education,"North America, United States",E,Performing to standard,11 + years,Female,White,8.0,
621,iLead,Floria,O meara,Virtual Online Learning,United Kingdom,G,Aspire to move,3 - 5 years,Female,White,1.0,
621,iLead,Emmanuel,Tweddle,English Language Learning,United Kingdom,E,Aspire to move,11 + years,Male,White,3.0,
621,iLead,Matthew,Douthwaite,Virtual Online Learning,United Kingdom,F,Aspire to move,11 + years,Male,White,7.0,
621,iLead,Aaron,Depp,Virtual Online Learning,India,F,Ready in 1 year,6 - 10 years,Male,White,6.0,
621,iLead,Lettie,Leahy,Workforce Skills,United Kingdom,F,Ready now,11 + years,Female,White,4.0,
621,iLead,Mohammed,Mccluskey,Assessment & Qualifications,China,E,Aspire to move,3 - 5 years,Female,White,4.0,
621,iLead,Ashli,Leary,Assessment & Qualifications,West Asia,E,Performing to standard,3 - 5 years,Female,White,10.0,
621,iLead,Grover,Mcguire,English Language Learning,China,E,Ready in 1 year,3 - 5 years,Male,White,7.0,
621,iLead,Leslee,Newington,Assessment & Qualifications,Australia,D,Ready now,3 - 5 years,Female,White,2.0,
621,iLead,Marianne,Dalby,Assessment & Qualifications,United Kingdom,F,Aspire to move,Less than 2 years,Female,White,6.0,
621,iLead,Elyse,Griffin,Assessment & Qualifications,"North America, United States",F,Ready now,3 - 5 years,Female,White,6.0,
621,iLead,Antonetta,Eldridge,Workforce Skills,Australia,F,Ready in 1 year,6 - 10 years,Male,White,2.0,
621,iLead,Keturah,Townend,Higher Education,United Kingdom,E,Ready in 1 year,6 - 10 years,Female,White,6.0,
621,iLead,Alysia,Hoult,Strategy,United Kingdom,E,Performing to standard,6 - 10 years,Female,White,8.0,
621,iLead,Sanda,Girling,Assessment & Qualifications,"North America, United States",D,Ready now,11 + years,Female,Latino/Hispanic,4.0,
621,iLead,Leopoldo,Haworth,Virtual Online Learning,"North America, United States",H,Aspire to move,Less than 2 years,Male,White,10.0,
621,iLead,Cheryll,Proctor,Higher Education,"North America, United States",F,Ready in 1 year,Less than 2 years,Male,White,2.0,
621,iLead,Cammy,Nurton,Assessment & Qualifications,"North America, Canada",F,Aspire to move,3 - 5 years,Male,White,7.0,
621,iLead,Noble,Silva,Assessment & Qualifications,United Kingdom,D,Aspire to move,6 - 10 years,Female,White,8.0,
621,iLead,Suellen,Dowler,Higher Education,United Kingdom,D,Aspire to move,3 - 5 years,Female,White,4.0,
621,iLead,Nickie,Errity,Human Resources,"North America, United States",F,Performing to standard,Less than 2 years,Male,White,9.0,
621,iLead,Chester,Batty,Higher Education,"North America, United States",D,Ready in 1 year,3 - 5 years,Male,White,7.0,
621,iLead,Lyda,Kirtley,Virtual Online Learning,Australia,E,Ready now,Less than 2 years,Female,White,10.0,
621,iLead,Danyell,Roussel,Higher Education,China,D,Performing to standard,11 + years,Female,Asian,1.0,
621,iLead,Kanisha,Allcock,Higher Education,"North America, Canada",E,Ready now,Less than 2 years,Female,Other,2.0,
621,iLead,Ricardo,Louth,Assessment & Qualifications,"North America, United States",D,Ready now,Less than 2 years,Female,White,3.0,
621,iLead,Sam,Wilkin,Higher Education,"North America, United States",E,Performing to standard,Less than 2 years,Male,White,8.0,
621,iLead,Sherise,Ball,Human Resources,"North America, United States",H,Aspire to move,6 - 10 years,Male,White,4.0,
621,iLead,Melodi,Imran,Higher Education,United Kingdom,D,Ready now,Less than 2 years,Male,White,5.0,
621,iLead,Reinaldo,O keeffe,Assessment & Qualifications,"North America, United States",D,Aspire to move,6 - 10 years,Female,White,3.0,
621,iLead,Adina,Mcguire,Assessment & Qualifications,"North America, United States",E,Ready in 1 year,6 - 10 years,Female,White,3.0,
621,iLead,Sarah,Ogilvy,Virtual Online Learning,"North America, United States",D,Aspire to move,6 - 10 years,Male,White,3.0,
621,iLead,Ricardo,Rich,Higher Education,"North America, Canada",E,Ready in 1 year,3 - 5 years,Male,White,2.0,
621,iLead,Sonny,Winder,Workforce Skills,"North America, United States",F,Ready now,Less than 2 years,Male,White,4.0,
621,iLead,Delsie,Cumming,Assessment & Qualifications,United Kingdom,D,Aspire to move,Less than 2 years,Female,White,9.0,
621,iLead,Robbi,Neighbour,Higher Education,United Kingdom,F,Aspire to move,6 - 10 years,Female,White,5.0,
621,iLead,Maryalice,Gadsden,Assessment & Qualifications,"North America, United States",D,Ready in 1 year,6 - 10 years,Male,White,1.0,
621,iLead,Stephnie,Beveridge,Higher Education,United Kingdom,F,Performing to standard,3 - 5 years,Male,White,9.0,
621,iLead,Vasiliki,Beck,Virtual Online Learning,Middle East,E,Ready in 1 year,11 + years,Female,White,3.0,
621,iLead,Margot,Garland,Assessment & Qualifications,United Kingdom,F,Ready in 1 year,11 + years,Male,White,10.0,
621,iLead,Lupita,Kilburn,Assessment & Qualifications,"North America, United States",D,Ready in 1 year,6 - 10 years,Male,White,6.0,
621,iLead,Duane,Speed,Higher Education,"North America, United States",E,Performing to standard,3 - 5 years,Female,White,3.0,
621,iLead,Hubert,Kilnan,Virtual Online Learning,"North America, United States",F,Aspire to move,3 - 5 years,Female,Latino/Hispanic,4.0,
621,iLead,Sidney,Ohara,Higher Education,"North America, United States",E,Aspire to move,6 - 10 years,Male,White,10.0,
621,iLead,Krystina,O dell,Human Resources,United Kingdom,E,Aspire to move,11 + years,Female,White,4.0,
621,iLead,Nola,Griggs,Virtual Online Learning,United Kingdom,E,Ready now,11 + years,Male,White,2.0,
621,iLead,Darrell,Stringer,Virtual Online Learning,"North America, Canada",E,Aspire to move,Less than 2 years,Male,Black,1.0,
621,iLead,Blair,Jeffery,English Language Learning,United Kingdom,F,Ready now,3 - 5 years,Female,White,5.0,
621,iLead,Lorna,Davey,Virtual Online Learning,United Kingdom,D,Aspire to move,6 - 10 years,Male,White,7.0,
621,iLead,Ike,Collier,Assessment & Qualifications,West Asia,D,Ready now,Less than 2 years,Male,White,5.0,
621,iLead,Gwen,Jarram,Virtual Online Learning,India,F,Performing to standard,11 + years,Male,White,2.0,
621,iLead,Venita,Yetman,Higher Education,West Asia,E,Ready in 1 year,11 + years,Female,Other,9.0,
621,iLead,Delphine,Appleby,Virtual Online Learning,United Kingdom,F,Ready in 1 year,6 - 10 years,Female,White,2.0,
621,iLead,Maximo,Mcdonnell,Higher Education,"North America, United States",E,Aspire to move,3 - 5 years,Prefer not to say,White,6.0,
621,iLead,Hertha,Buchanan,Assessment & Qualifications,Middle East,D,Ready now,3 - 5 years,Male,White,3.0,
621,iLead,Tameka,Vine,English Language Learning,"North America, United States",E,Coach,11 + years,Male,White,10.0,
621,iLead,Yvonne,Geldart,Strategy,United Kingdom,F,Ready in 1 year,11 + years,Prefer not to say,White,10.0,
621,iLead,Dexter,Pinkney,Human Resources,"North America, Canada",F,Ready now,3 - 5 years,Female,White,10.0,
621,iLead,Glory,Kilburn,Assessment & Qualifications,South Asia,D,Aspire to move,11 + years,Female,White,8.0,
621,iLead,Olinda,Staff,Higher Education,India,D,Ready now,Less than 2 years,Male,White,7.0,
621,iLead,Olga,Adam,Virtual Online Learning,"North America, Canada",F,Ready in 1 year,11 + years,Male,White,8.0,
621,iLead,Randy,Gresham,Virtual Online Learning,"North America, Canada",D,Aspire to move,11 + years,Male,White,9.0,
621,iLead,Stephaine,Farmer,Virtual Online Learning,East Asia,D,Ready now,11 + years,Female,White,5.0,
621,iLead,Santana,Naughton,Assessment & Qualifications,United Kingdom,E,Aspire to move,Less than 2 years,Male,White,6.0,
621,iLead,Waylon,Costello,Virtual Online Learning,Middle East,E,Ready in 1 year,6 - 10 years,Female,White,8.0,
621,iLead,Marinda,Rawlinson,Higher Education,"North America, Canada",F,Ready now,Less than 2 years,Male,White,2.0,
621,iLead,Magdalene,Upson,Workforce Skills,India,D,Ready in 1 year,6 - 10 years,Female,White,3.0,
621,iLead,Sanjuanita,Adanet,Virtual Online Learning,East Asia,F,Ready in 1 year,Less than 2 years,Male,White,9.0,
621,iLead,Micki,Hodder,English Language Learning,United Kingdom,F,Ready now,6 - 10 years,Male,White,3.0,
621,iLead,Vernell,Nott,Higher Education,United Kingdom,D,Ready in 1 year,11 + years,Male,White,5.0,
621,iLead,Tobias,Sadiq,Human Resources,Australia,G,Performing to standard,3 - 5 years,Male,Black,7.0,
621,iLead,Necole,Appleyard,Assessment & Qualifications,United Kingdom,F,Aspire to move,6 - 10 years,Male,White,8.0,
921,iManage,Frederica,Oxenham,Corporate Marketing & Comms,"North America, United States",C1,Performing to standard,11 + years,Female,White,9.0,
921,iManage,Daniella,Keeley,Virtual Online Learning,Europe,D,Ready in 1 year,6 - 10 years,Male,White,3.0,
921,iManage,Cythia,Kay,Virtual Online Learning,"North America, United States",C2,Aspire to move,11 + years,Male,White,4.0,
921,iManage,Angela,Floss,Corporate Marketing & Comms,East Asia,D,Coach,3 - 5 years,Male,White,0.0,
921,iManage,Suzanna,Eastell,Higher Education,"North America, United States",E,Performing to standard,3 - 5 years,Female,White,2.0,
921,iManage,Rosita,Timms,Corporate Marketing & Comms,United Kingdom,C2,Ready in 1 year,6 - 10 years,Male,White,1.0,
921,iManage,Latisha,Mcavoy,Higher Education,United Kingdom,C2,Performing to standard,Less than 2 years,Female,White,0.0,
921,iManage,Jolie,Odling,Higher Education,United Kingdom,C1,Ready in 1 year,6 - 10 years,Female,White,3.0,
921,iManage,Drema,Kampfner,Virtual Online Learning,India,C1,Ready in 1 year,6 - 10 years,Male,White,9.0,
921,iManage,Erin,Bevan,Assessment & Qualifications,East Asia,D,Aspire to move,6 - 10 years,Male,White,9.0,
921,iManage,Bridget,Lancaster,Virtual Online Learning,"North America, United States",C1,Performing to standard,6 - 10 years,Female,White,0.0,
921,iManage,Monte,Townsend,Assessment & Qualifications,United Kingdom,D,Performing to standard,3 - 5 years,Male,White,0.0,
921,iManage,Lizbeth,Burrows,Finance,"North America, United States",C1,Performing to standard,Less than 2 years,Male,White,10.0,
921,iManage,Joie,O loughlin,Virtual Online Learning,Europe,C1,Ready in 1 year,6 - 10 years,Male,White,0.0,
921,iManage,Carmelita,Barry,Workforce Skills,"North America, Canada",C1,Ready now,11 + years,Male,White,6.0,
921,iManage,Myra,Ramsey,Legal,United Kingdom,F,Performing to standard,Less than 2 years,Male,White,6.0,
921,iManage,Kristina,O ryan,Corporate Marketing & Comms,"North America, United States",C1,Ready now,11 + years,Male,White,4.0,
921,iManage,Lina,Burgess,Human Resources,"North America, Canada",D,Ready in 1 year,3 - 5 years,Male,White,7.0,
921,iManage,Gilbert,Milligan,English Language Learning,Northern Ireland,E,Ready now,11 + years,Male,White,9.0,
921,iManage,Judie,Anstee,English Language Learning,"North America, United States",E,Performing to standard,6 - 10 years,Male,White,1.0,
921,iManage,Bethany,Overfield,CPO/DTC,United Kingdom,E,Performing to standard,11 + years,Male,White,3.0,
921,iManage,Sadie,Wildman,Finance,Europe,C2,Coach,3 - 5 years,Prefer not to say,White,5.0,
921,iManage,Angelia,Olds,Assessment & Qualifications,India,C1,Performing to standard,Less than 2 years,Male,White,10.0,
921,iManage,Suzi,Cooper,Higher Education,United Kingdom,C1,Aspire to move,11 + years,Male,White,4.0,
921,iManage,Karl,Kay,Legal,"North America, United States",C1,Ready now,6 - 10 years,Male,White,1.0,
921,iManage,Zula,Vardy,Corporate Marketing & Comms,"North America, United States",D,Aspire to move,3 - 5 years,Male,White,5.0,
921,iManage,Janna,Vickery,Assessment & Qualifications,United Kingdom,E,Performing to standard,3 - 5 years,Male,White,6.0,
921,iManage,Rhea,Cove,Assessment & Qualifications,United Kingdom,C1,Ready now,6 - 10 years,Male,White,9.0,
921,iManage,Sandi,Fountain,Assessment & Qualifications,"North America, United States",E,Ready in 1 year,11 + years,Male,White,3.0,
921,iManage,Jettie,Reese,Virtual Online Learning,United Kingdom,C1,Aspire to move,3 - 5 years,Female,White,2.0,
921,iManage,Sharan,Kinnersley,Human Resources,United Kingdom,E,Ready in 1 year,Less than 2 years,Male,White,6.0,
921,iManage,Wilber,Garratt,Corporate Marketing & Comms,United Kingdom,E,Ready in 1 year,Less than 2 years,Male,White,0.0,
921,iManage,Otis,Gilks,English Language Learning,United Kingdom,C1,Aspire to move,6 - 10 years,Male,White,10.0,"I thought this program was really great.  I've been a manager for a while now, and it was so nice to make sure I'm doing the right things."
921,iManage,Lynwood,Wintersgill,CPO/DTC,Europe,E,Performing to standard,11 + years,Male,White,1.0,
921,iManage,Nery,Tamber,English Language Learning,"North America, United States",C1,Aspire to move,6 - 10 years,Female,White,4.0,
921,iManage,Fletcher,Wales,Corporate Marketing & Comms,"North America, Canada",C1,Ready now,11 + years,Male,White,0.0,
921,iManage,Davina,Draper,Assessment & Qualifications,Europe,D,Performing to standard,6 - 10 years,Male,White,10.0,
921,iManage,Elayne,Garcia,Virtual Online Learning,"North America, Canada",C1,Ready in 1 year,11 + years,Female,White,3.0,
921,iManage,Rosanne,Savage,Higher Education,"North America, United States",C1,Performing to standard,Less than 2 years,Male,White,2.0,
921,iManage,Bettye,Wilde,Human Resources,"North America, United States",E,Aspire to move,3 - 5 years,Female,White,7.0,
921,iManage,Michelina,Pagan,Workforce Skills,United Kingdom,C1,Ready in 1 year,3 - 5 years,Female,White,1.0,
921,iManage,Hester,Kone,Higher Education,"North America, Canada",C1,Aspire to move,3 - 5 years,Male,White,4.0,
921,iManage,Camie,Ebden,Corporate Marketing & Comms,United Kingdom,E,Performing to standard,11 + years,Female,White,4.0,
921,iManage,Effie,Garratt,English Language Learning,"North America, United States",C1,Ready now,11 + years,Female,White,1.0,
921,iManage,Booker,Ettrick,Virtual Online Learning,United Kingdom,E,Ready in 1 year,3 - 5 years,Female,White,5.0,
921,iManage,Sana,Reyes,Virtual Online Learning,United Kingdom,D,Coach,11 + years,Male,White,4.0,
921,iManage,Liane,Ashe,Finance,"North America, United States",D,Aspire to move,6 - 10 years,Female,White,5.0,
921,iManage,Mohamed,Broadley,Higher Education,United Kingdom,C1,Aspire to move,6 - 10 years,Female,White,8.0,
921,iManage,Geraldo,Adamson,Legal,"North America, United States",C1,Aspire to move,11 + years,Female,White,5.0,
921,iManage,Keneth,Shepherd,Virtual Online Learning,Europe,D,Coach,Less than 2 years,Male,White,1.0,
921,iManage,Luvenia,Aziz,Higher Education,"North America, United States",D,Ready in 1 year,6 - 10 years,Female,White,8.0,
921,iManage,Tori,Arnett,CPO/DTC,Europe,E,Performing to standard,Less than 2 years,Male,White,1.0,
921,iManage,Conrad,Goldberg,English Language Learning,United Kingdom,C2,Performing to standard,11 + years,Female,White,5.0,
921,iManage,Audrea,Gosden,Higher Education,"North America, United States",C2,Ready now,3 - 5 years,Male,White,5.0,
921,iManage,Alysha,Batchelor,Virtual Online Learning,"North America, Canada",F,Ready in 1 year,11 + years,Female,Asian,4.0,
921,iManage,Myrtice,Anton,Corporate Marketing & Comms,"North America, United States",C2,Aspire to move,11 + years,Male,White,10.0,
921,iManage,Justin,Tully,Corporate Marketing & Comms,United Kingdom,C2,Performing to standard,11 + years,Male,White,6.0,
921,iManage,Shizue,Winfield,Assessment & Qualifications,"North America, United States",C2,Aspire to move,6 - 10 years,Female,White,1.0,
921,iManage,Cathy,Wang,Assessment & Qualifications,"North America, Canada",D,Ready in 1 year,6 - 10 years,Female,White,6.0,
921,iManage,Luanne,Westlake,Higher Education,"North America, United States",C2,Ready in 1 year,11 + years,Male,White,9.0,
921,iManage,Anika,Elmer,Strategy,"North America, United States",C2,Coach,6 - 10 years,Male,White,6.0,
921,iManage,Theressa,Kensington,Assessment & Qualifications,United Kingdom,E,Ready in 1 year,6 - 10 years,Female,White,3.0,
921,iManage,Berneice,Rosenblatt,Assessment & Qualifications,"North America, Canada",C2,Ready in 1 year,6 - 10 years,Female,White,9.0,
921,iManage,Elfreda,Woodhouse,Virtual Online Learning,"North America, United States",C2,Coach,6 - 10 years,Male,White,1.0,
921,iManage,Deandrea,Penn,English Language Learning,"North America, United States",C2,Aspire to move,3 - 5 years,Male,White,3.0,Thank you; speakers were good and it was nice to expand my network.
921,iManage,Sun,Western,Virtual Online Learning,United Kingdom,D,Aspire to move,3 - 5 years,Female,White,2.0,
921,iManage,Vada,Mullen,Virtual Online Learning,"North America, United States",C2,Aspire to move,6 - 10 years,Male,White,2.0,
921,iManage,Junior,Oman,Virtual Online Learning,United Kingdom,E,Performing to standard,3 - 5 years,Male,White,3.0,
921,iManage,Fermina,Eadie,Higher Education,United Kingdom,C2,Performing to standard,6 - 10 years,Female,White,5.0,
921,iManage,Maribeth,Woodward,Higher Education,"North America, United States",D,Aspire to move,11 + years,Male,White,9.0,
921,iManage,Kristin,Youlden,Higher Education,"North America, United States",C2,Coach,3 - 5 years,Male,White,0.0,
921,iManage,Odell,Hampton,Workforce Skills,Europe,C2,Ready in 1 year,11 + years,Female,White,0.0,
921,iManage,Trish,Lees,Assessment & Qualifications,Australia,C2,Ready in 1 year,Less than 2 years,Male,White,0.0,
921,iManage,Lucien,Atherton,Corporate Marketing & Comms,Africa,C2,Performing to standard,6 - 10 years,Male,White,10.0,
921,iManage,Alfreda,Horner,Higher Education,United Kingdom,D,Ready in 1 year,Less than 2 years,Female,White,0.0,
921,iManage,September,Yeomans,CPO/DTC,United Kingdom,C2,Aspire to move,6 - 10 years,Female,White,6.0,
921,iManage,Loriann,Prescott,Assessment & Qualifications,"North America, United States",E,Ready now,3 - 5 years,Female,White,1.0,
921,iManage,Emely,Fortin,Assessment & Qualifications,Europe,C2,Ready in 1 year,11 + years,Male,White,5.0,
921,iManage,Fernanda,Shakespeare,Virtual Online Learning,"North America, United States",E,Ready in 1 year,3 - 5 years,Female,White,2.0,
921,iManage,Hong,Ebdon,Assessment & Qualifications,"North America, United States",C2,Coach,11 + years,Female,White,0.0,
921,iManage,Verona,Heywood,Virtual Online Learning,Africa,C2,Ready now,3 - 5 years,Male,White,2.0,
921,iManage,Evette,Kilburn,Finance,"North America, United States",E,Performing to standard,3 - 5 years,Female,White,6.0,
921,iManage,Shakia,Rothery,Corporate Marketing & Comms,"North America, United States",D,Aspire to move,11 + years,Female,White,3.0,
921,iManage,Albertina,Thurgood,English Language Learning,"North America, Canada",C2,Coach,6 - 10 years,Male,White,3.0,
921,iManage,Elwanda,Alderson,CPO/DTC,"North America, United States",E,Coach,3 - 5 years,Male,White,4.0,
921,iManage,Emily,Heather,English Language Learning,Australia,C2,Ready in 1 year,11 + years,Female,White,7.0,
921,iManage,Omer,Poon,Virtual Online Learning,Europe,E,Performing to standard,6 - 10 years,Male,White,4.0,
921,iManage,Layla,Kent,Corporate Marketing & Comms,"North America, United States",C2,Ready now,Less than 2 years,Male,White,6.0,
921,iManage,Delicia,Richardson,Virtual Online Learning,"North America, Canada",C2,Coach,6 - 10 years,Male,White,4.0,
921,iManage,Sheree,Nichol,Legal,United Kingdom,C2,Coach,Less than 2 years,Male,White,3.0,
921,iManage,Filomena,Phoenix,Assessment & Qualifications,"North America, United States",E,Ready now,Less than 2 years,Female,White,5.0,
921,iManage,Shery,Tang,Assessment & Qualifications,Europe,D,Ready in 1 year,Less than 2 years,Male,White,2.0,
921,iManage,Mendy,Houston,Virtual Online Learning,"North America, Canada",E,Coach,6 - 10 years,Male,White,3.0,
921,iManage,Vina,Anker,Higher Education,Europe,C2,Aspire to move,Less than 2 years,Female,White,9.0,
921,iManage,Rutha,Powell,Virtual Online Learning,Europe,C2,Ready in 1 year,11 + years,Female,White,7.0,
921,iManage,Dannie,Jeffers,Higher Education,"North America, United States",D,Coach,Less than 2 years,Male,White,4.0,
921,iManage,Andria,Ellison,Higher Education,"North America, United States",D,Ready in 1 year,11 + years,Female,White,2.0,
921,iManage,Cassandra,Docker,Higher Education,"North America, Canada",C2,Aspire to move,11 + years,Female,White,1.0,
921,iManage,Josette,Fawcett,English Language Learning,Africa,C2,Performing to standard,Less than 2 years,Male,White,1.0,
921,iManage,Serina,Hudson,Higher Education,"North America, United States",C2,Ready in 1 year,6 - 10 years,Female,White,7.0,
921,iManage,Jamie,Nield,Higher Education,South Asia,C2,Aspire to move,6 - 10 years,Female,White,1.0,
921,iManage,Caryl,Froggett,Higher Education,Middle East,C2,Ready in 1 year,11 + years,Female,White,6.0,
921,iManage,Brett,Makin,English Language Learning,"North America, United States",E,Performing to standard,6 - 10 years,Male,White,9.0,
921,iManage,Darrell,Banner,Higher Education,"North America, United States",C2,Ready now,11 + years,Male,White,2.0,The most useful part was meeting other managers.  I liked hearing what they're doing.
921,iManage,Catharine,Prior,Corporate Marketing & Comms,"North America, United States",C2,Coach,6 - 10 years,Male,White,4.0,
921,iManage,Bettye,Cripps,Virtual Online Learning,United Kingdom,C2,Coach,6 - 10 years,Male,White,6.0,
921,iManage,Loraine,Denham,Workforce Skills,Middle East,D,Coach,11 + years,Male,White,1.0,
921,iManage,Oralia,Joyce,Corporate Marketing & Comms,"North America, United States",C1,Coach,3 - 5 years,Male,White,2.0,
921,iManage,Sondra,Strickland,Finance,United Kingdom,C2,Ready now,6 - 10 years,Female,White,1.0,
921,iManage,Drucilla,Mcgrath,Higher Education,"North America, United States",F,Ready in 1 year,3 - 5 years,Female,Latino/Hispanic,7.0,
921,iManage,Kiyoko,Ferreira,Higher Education,United Kingdom,D,Ready now,3 - 5 years,Female,White,0.0,
921,iManage,Dorothy,Burns,Legal,"North America, United States",D,Aspire to move,6 - 10 years,Female,White,3.0,
921,iManage,Queenie,Griffith,Virtual Online Learning,South Asia,C2,Ready now,6 - 10 years,Male,White,1.0,
921,iManage,Kizzie,Aitken,Human Resources,"North America, Canada",C1,Ready now,Less than 2 years,Female,White,10.0,
921,iManage,Dayle,Maddocks,Higher Education,"North America, United States",D,Coach,11 + years,Male,White,0.0,
921,iManage,Crystal,Brock,Assessment & Qualifications,"North America, Canada",D,Aspire to move,3 - 5 years,Male,White,8.0,
921,iManage,Amee,Elven,Virtual Online Learning,West Asia,C2,Aspire to move,Less than 2 years,Female,White,4.0,
921,iManage,Nancie,Coleman,Assessment & Qualifications,Middle East,E,Aspire to move,11 + years,Male,White,2.0,
921,iManage,Kecia,Batten,Corporate Marketing & Comms,India,C2,Ready now,3 - 5 years,Prefer not to say,White,6.0,
921,iManage,Ina,Emerson,Corporate Marketing & Comms,Middle East,C2,Aspire to move,3 - 5 years,Female,White,7.0,
921,iManage,Rachell,Docherty,Workforce Skills,"North America, United States",C2,Ready in 1 year,3 - 5 years,Female,White,3.0,
921,iManage,Johnette,Ostcliffe,Assessment & Qualifications,India,C2,Coach,Less than 2 years,Male,White,3.0,
921,iManage,Ethelene,Roden,Assessment & Qualifications,South Asia,E,Ready now,Less than 2 years,Female,White,2.0,
921,iManage,Maile,Packard,Legal,"North America, United States",E,Ready now,11 + years,Female,White,1.0,
921,iManage,Luanna,Harrop,Higher Education,"North America, United States",C2,Performing to standard,6 - 10 years,Male,White,5.0,
921,iManage,Sheron,Gill,Corporate Marketing & Comms,West Asia,C2,Ready in 1 year,11 + years,Female,White,8.0,
921,iManage,Deangelo,Denney,Corporate Marketing & Comms,"North America, United States",C2,Performing to standard,Less than 2 years,Male,White,0.0,
921,iManage,Jacqui,Owings,Human Resources,Middle East,D,Aspire to move,3 - 5 years,Male,White,4.0,
921,iManage,Gabriela,Pryor,Virtual Online Learning,Australia,C2,Performing to standard,11 + years,Male,White,6.0,
921,iManage,Kaleigh,Wareing,Virtual Online Learning,Middle East,C2,Performing to standard,Less than 2 years,Female,White,5.0,Thank you - good session
921,iManage,Arianna,Jacob,Assessment & Qualifications,"North America, United States",C2,Performing to standard,3 - 5 years,Female,White,3.0,
921,iManage,Ila,Rumbold,Human Resources,Africa,C2,Ready in 1 year,11 + years,Male,White,10.0,"I've been with Pearson for a long time now, always managing people and this was such a good, practical course.  I learned so much that I wish I would have learned 6 years ago."
